sample_index,actual_label,prediction,confidence,routing_reason,retrieved_evidence_ids,hit_at_1,hit_at_4,first_relevant_rank,reciprocal_rank,relevant_items_retrieved,retrieved_items,precision_at_4,recall_at_4
10001,VULNERABILITYSCAN,BENIGN,0.6282051282051282,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10002,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10007,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|mitre-t1557-001-indicators|nist-sp-800-61r3-containment|mitre-t1046-overview,0,1,4,0.25,1,4,0.25,0.25
10009,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10013,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10016,DNS_SPOOFING,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10019,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10020,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10023,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10026,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10028,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10029,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10032,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|mitre-t1557-001-indicators|nist-sp-800-61r3-containment,0,0,0,0.0,0,3,0.0,0.0
10036,DNS_SPOOFING,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10039,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10045,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10046,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10047,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10048,DNS_SPOOFING,BENIGN,0.5433962264150943,LOW_CONFIDENCE_AND_DRIFT,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10049,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
