case_id,description,mode,top_k,relevant_evidence_count,retrieved_evidence_ids,hit_at_1,hit_at_3,hit_at_4,precision_at_1,precision_at_3,precision_at_4,recall_at_4,ndcg_at_4,first_relevant_rank,reciprocal_rank,relevant_items_retrieved,retrieved_items,retrieval_latency_ms,candidates_considered,rag_invoked
vulnerability-scanning,Vulnerability and network service scanning,lexical,4,4,mitre-t1046-overview|mitre-t1046-indicators|mitre-t1046-mitigation|mitre-t1046-interpretation,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,4,4,0.5175999831408262,37,1
dns-spoofing,DNS spoofing and name resolution poisoning,lexical,4,4,mitre-t1557-001-caveat|mitre-t1557-001-indicators|mitre-t1557-001-overview|mitre-t1557-001-mitigation,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,4,4,0.04780001472681761,37,1
http-flood,HTTP application-layer flooding,lexical,4,6,mitre-t1499-002-http|mitre-t1499-002-indicators|owasp-dos-controls|mitre-t1499-002-overview,1,1,1,1.0,1.0,1.0,0.6666666666666666,1.0,1,1.0,4,4,0.04029995761811733,37,1
brute-force,Repeated authentication attempts,lexical,4,4,mitre-t1110-indicators|mitre-t1110-mitigation|mitre-t1046-overview|mitre-t1046-interpretation,1,1,1,1.0,0.6666666666666666,0.5,0.5,0.6366824387328317,1,1.0,2,4,0.034699973184615374,37,1
command-injection,Unsafe operating-system command input,lexical,4,3,owasp-command-injection-context|owasp-command-injection-defense|owasp-command-injection-overview|owasp-sql-injection-investigation,1,1,1,1.0,1.0,0.75,1.0,1.0,1,1.0,3,4,0.03430002834647894,37,1
sql-injection,Unsafe database query input,lexical,4,3,owasp-sql-injection-investigation|owasp-sql-injection-defense|owasp-sql-injection-overview|owasp-command-injection-context,1,1,1,1.0,1.0,0.75,1.0,1.0,1,1.0,3,4,0.0371999922208488,37,1
network-dos,Network denial of service,lexical,4,6,mitre-t1498-detection|mitre-t1498-mitigation|mitre-t1498-overview|cisa-ddos-overview,1,1,1,1.0,1.0,1.0,0.6666666666666666,1.0,1,1.0,4,4,0.040000013541430235,37,1
iot-security,IoT device cybersecurity,lexical,4,3,nist-iot-state-awareness|nist-iot-8259a-capabilities|mitre-t1210-mitigation|cwe-798-overview,1,1,1,1.0,0.6666666666666666,0.5,0.6666666666666666,0.7653606369886217,1,1.0,2,4,0.03779999678954482,37,1
vulnerability-scanning,Vulnerability and network service scanning,semantic,4,4,mitre-t1046-overview|mitre-t1046-interpretation|mitre-t1046-indicators|mitre-t1210-indicators,1,1,1,1.0,1.0,0.75,0.75,0.8318724637288826,1,1.0,3,4,9610.18190003233,37,1
dns-spoofing,DNS spoofing and name resolution poisoning,semantic,4,4,mitre-t1557-001-indicators|mitre-t1557-001-caveat|mitre-t1499-002-overview|mitre-t1498-overview,1,1,1,1.0,0.6666666666666666,0.5,0.5,0.6366824387328317,1,1.0,2,4,12.399700004607439,37,1
http-flood,HTTP application-layer flooding,semantic,4,6,mitre-t1499-002-http|mitre-t1499-002-overview|cisa-ddos-overview|mitre-t1499-002-indicators,1,1,1,1.0,0.6666666666666666,0.75,0.5,0.8048099750039491,1,1.0,3,4,9.927399980369955,37,1
brute-force,Repeated authentication attempts,semantic,4,4,mitre-t1110-indicators|mitre-t1110-mitigation|mitre-t1110-overview|mitre-t1498-overview,1,1,1,1.0,1.0,0.75,0.75,0.8318724637288826,1,1.0,3,4,11.259500053711236,37,1
command-injection,Unsafe operating-system command input,semantic,4,3,owasp-command-injection-overview|owasp-command-injection-defense|owasp-command-injection-context|cisa-ddos-overview,1,1,1,1.0,1.0,0.75,1.0,1.0,1,1.0,3,4,13.41890002368018,37,1
sql-injection,Unsafe database query input,semantic,4,3,owasp-sql-injection-defense|owasp-sql-injection-overview|owasp-sql-injection-investigation|owasp-command-injection-overview,1,1,1,1.0,1.0,0.75,1.0,1.0,1,1.0,3,4,14.840100018773228,37,1
network-dos,Network denial of service,semantic,4,6,cisa-ddos-overview|mitre-t1498-overview|mitre-t1499-002-http|owasp-dos-controls,1,1,1,1.0,0.6666666666666666,0.75,0.5,0.8048099750039491,1,1.0,3,4,14.026599994394928,37,1
iot-security,IoT device cybersecurity,semantic,4,3,nist-iot-state-awareness|nist-iot-8259a-capabilities|cisa-ddos-overview|nist-ir-8259r1-foundational,1,1,1,1.0,0.6666666666666666,0.75,1.0,0.9674679834891693,1,1.0,3,4,13.999500020872802,37,1
